old_url,old_path,status,new_url,match_type,notes
https://ideas-block.com/sketches-disguise-monika-jasnauskaite-11-june-11/,/sketches-disguise-monika-jasnauskaite-11-june-11/,auto,http://localhost:8000/blog/sketches-disguise-monika-jasnauskaite-11-june-11/,auto,BlogPostPage pk=82
https://ideas-block.com/creative-summer-project-presentation-16th-may-19-00/,/creative-summer-project-presentation-16th-may-19-00/,auto,http://localhost:8000/blog/creative-summer-project-presentation-16th-may-19-00/,auto,BlogPostPage pk=83
https://ideas-block.com/tea-tasting-18th-19-00/,/tea-tasting-18th-19-00/,auto,http://localhost:8000/blog/tea-tasting-18th-19-00/,auto,BlogPostPage pk=74
https://ideas-block.com/sound-ideas-experimental-music-performance-friday-19th/,/sound-ideas-experimental-music-performance-friday-19th/,auto,http://localhost:8000/blog/sound-ideas-experimental-music-performance-friday-19th/,auto,BlogPostPage pk=77
https://ideas-block.com/movie-night-remembering-europe-20th-19-00/,/movie-night-remembering-europe-20th-19-00/,auto,http://localhost:8000/blog/movie-night-remembering-europe-20th-19-00/,auto,BlogPostPage pk=84
https://ideas-block.com/site-specific-experimental-music-talk-27th-19-00/,/site-specific-experimental-music-talk-27th-19-00/,auto,http://localhost:8000/blog/site-specific-experimental-music-talk-27th-19-00/,auto,BlogPostPage pk=75
https://ideas-block.com/independent-film-festival-shapeless-june-8-19-00/,/independent-film-festival-shapeless-june-8-19-00/,auto,http://localhost:8000/blog/independent-film-festival-shapeless-june-8-19-00/,auto,BlogPostPage pk=86
https://ideas-block.com/shibori-textiles-dyeing-workshop-11th-july-18-30/,/shibori-textiles-dyeing-workshop-11th-july-18-30/,auto,http://localhost:8000/blog/shibori-textiles-dyeing-workshop-11th-july-18-30/,auto,BlogPostPage pk=88
https://ideas-block.com/how-pain-photography-exhibition-june-22-july-22/,/how-pain-photography-exhibition-june-22-july-22/,auto,http://localhost:8000/blog/how-pain-photography-exhibition-june-22-july-22/,auto,BlogPostPage pk=89
https://ideas-block.com/travel-stories-hitch-hiking-america-18th-july-19-00/,/travel-stories-hitch-hiking-america-18th-july-19-00/,auto,http://localhost:8000/blog/travel-stories-hitch-hiking-america-18th-july-19-00/,auto,BlogPostPage pk=87
https://ideas-block.com/nematomos-gijos-invisible-threads-julija-rukanskaite-2017-08-03-10/,/nematomos-gijos-invisible-threads-julija-rukanskaite-2017-08-03-10/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/touch-emily-dundas-oke-exhibition-august-17th-18-00/,/touch-emily-dundas-oke-exhibition-august-17th-18-00/,auto,http://localhost:8000/blog/touch-emily-dundas-oke-exhibition-august-17th-18-00/,auto,BlogPostPage pk=85
https://ideas-block.com/movie-night-lo-behold-reveries-connected-world-19th-august-19-00/,/movie-night-lo-behold-reveries-connected-world-19th-august-19-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/site-exhibition-opening-ruta-matuleviciute-emily-dundas-oke-29th-august-18-00/,/site-exhibition-opening-ruta-matuleviciute-emily-dundas-oke-29th-august-18-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/time-introduction-creative-drama-kids/,/time-introduction-creative-drama-kids/,auto,http://localhost:8000/blog/time-introduction-creative-drama-kids/,auto,BlogPostPage pk=109
https://ideas-block.com/night-exhibition-opening-ieva-peciulyte-21st-september-19-00/,/night-exhibition-opening-ieva-peciulyte-21st-september-19-00/,auto,http://localhost:8000/blog/night-exhibition-opening-ieva-peciulyte-21st-september-19-00/,auto,BlogPostPage pk=110
https://ideas-block.com/notebook-workshop-liucija-textiles-27th-september-19-00/,/notebook-workshop-liucija-textiles-27th-september-19-00/,auto,http://localhost:8000/blog/notebook-workshop-liucija-textiles-27th-september-19-00/,auto,BlogPostPage pk=111
https://ideas-block.com/textiles-shibori-dyeing-workshop-liucija-textiles-4th-october-19-00/,/textiles-shibori-dyeing-workshop-liucija-textiles-4th-october-19-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/observation-based-drawing-workshops-paul-takahashi-sunday-18-00/,/observation-based-drawing-workshops-paul-takahashi-sunday-18-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/01-art-show-ruta-matuleviciute-25th-july-18-00/,/01-art-show-ruta-matuleviciute-25th-july-18-00/,auto,http://localhost:8000/blog/01-art-show-ruta-matuleviciute-25th-july-18-00/,auto,BlogPostPage pk=114
https://ideas-block.com/success-stories-uganda-conversations-cup-coffee-28th-september-18-30/,/success-stories-uganda-conversations-cup-coffee-28th-september-18-30/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/estuary-exhibition-opening-lena-klyukina-26th-october-19-00/,/estuary-exhibition-opening-lena-klyukina-26th-october-19-00/,auto,http://localhost:8000/blog/estuary-exhibition-opening-lena-klyukina-26th-october-19-00/,auto,BlogPostPage pk=116
https://ideas-block.com/artists-designers-creative-thinkers/,/artists-designers-creative-thinkers/,auto,http://localhost:8000/blog/artists-designers-creative-thinkers/,auto,BlogPostPage pk=118
https://ideas-block.com/exploring-honduras-conversations-cup-coffee/,/exploring-honduras-conversations-cup-coffee/,auto,http://localhost:8000/blog/exploring-honduras-conversations-cup-coffee/,auto,BlogPostPage pk=120
https://ideas-block.com/travel-stories-japan-15th-november-19-00/,/travel-stories-japan-15th-november-19-00/,auto,http://localhost:8000/blog/travel-stories-japan-15th-november-19-00/,auto,BlogPostPage pk=121
https://ideas-block.com/shibori-dyeing-workshop-21st-november-19-00/,/shibori-dyeing-workshop-21st-november-19-00/,auto,http://localhost:8000/blog/shibori-dyeing-workshop-21st-november-19-00/,auto,BlogPostPage pk=122
https://ideas-block.com/candle-making-workshop-amatauk-8th-november-19-00/,/candle-making-workshop-amatauk-8th-november-19-00/,auto,http://localhost:8000/blog/candle-making-workshop-amatauk-8th-november-19-00/,auto,BlogPostPage pk=123
https://ideas-block.com/documentary-night-buy-day-screening-the-black-25th-november-19-00/,/documentary-night-buy-day-screening-the-black-25th-november-19-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/open-microphone-friday/,/open-microphone-friday/,auto,http://localhost:8000/blog/open-microphone-friday/,auto,BlogPostPage pk=119
https://ideas-block.com/parietal-field-exhibition-opening-paul-takahashi-30th-november-19-00/,/parietal-field-exhibition-opening-paul-takahashi-30th-november-19-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/nomads-guide-listening-1st-december-19-00/,/nomads-guide-listening-1st-december-19-00/,auto,http://localhost:8000/blog/nomads-guide-listening-1st-december-19-00/,auto,BlogPostPage pk=136
https://ideas-block.com/aidi-ataidi-evening-songs-2nd-december-19-00/,/aidi-ataidi-evening-songs-2nd-december-19-00/,auto,http://localhost:8000/blog/aidi-ataidi-evening-songs-2nd-december-19-00/,auto,BlogPostPage pk=137
https://ideas-block.com/enamel-workshop-ideas-block-5th-december-18-00/,/enamel-workshop-ideas-block-5th-december-18-00/,auto,http://localhost:8000/blog/enamel-workshop-ideas-block-5th-december-18-00/,auto,BlogPostPage pk=138
https://ideas-block.com/candle-making-workshop-ideas-block-6th-december-19-00/,/candle-making-workshop-ideas-block-6th-december-19-00/,auto,http://localhost:8000/blog/candle-making-workshop-ideas-block-6th-december-19-00/,auto,BlogPostPage pk=139
https://ideas-block.com/notebook-workshop-kids-22nd-december-18-00/,/notebook-workshop-kids-22nd-december-18-00/,auto,http://localhost:8000/blog/notebook-workshop-kids-22nd-december-18-00/,auto,BlogPostPage pk=126
https://ideas-block.com/t-shirt-dyeing-kids-23rd-december-12-00/,/t-shirt-dyeing-kids-23rd-december-12-00/,auto,http://localhost:8000/blog/t-shirt-dyeing-kids-23rd-december-12-00/,auto,BlogPostPage pk=140
https://ideas-block.com/exchange-market-ideas-block-21st-december-18-00/,/exchange-market-ideas-block-21st-december-18-00/,auto,http://localhost:8000/blog/exchange-market-ideas-block-21st-december-18-00/,auto,BlogPostPage pk=149
https://ideas-block.com/landscapes-soul-exhibition-opening-vilmante-lokcikaite-4th-january-19-00/,/landscapes-soul-exhibition-opening-vilmante-lokcikaite-4th-january-19-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/poem-collage-workshop-6th-january-12-00/,/poem-collage-workshop-6th-january-12-00/,auto,http://localhost:8000/blog/poem-collage-workshop-6th-january-12-00/,auto,BlogPostPage pk=125
https://ideas-block.com/lucid-drawing-workshop-4th-february-17-00/,/lucid-drawing-workshop-4th-february-17-00/,auto,http://localhost:8000/blog/lucid-drawing-workshop-4th-february-17-00/,auto,BlogPostPage pk=134
https://ideas-block.com/source-process-1-year-anniversary-exhibition-8th-february-19-00/,/source-process-1-year-anniversary-exhibition-8th-february-19-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/conversations-cup-tea-stories-ghana-january-31st-18-00/,/conversations-cup-tea-stories-ghana-january-31st-18-00/,auto,http://localhost:8000/blog/conversations-cup-tea-stories-ghana-january-31st-18-00/,auto,BlogPostPage pk=98
https://ideas-block.com/collage-stories-poem-collage-workshop/,/collage-stories-poem-collage-workshop/,auto,http://localhost:8000/blog/collage-stories-poem-collage-workshop/,auto,BlogPostPage pk=99
https://ideas-block.com/sashiko-clothing-decoration-repair-workshop-13th-february-17-00/,/sashiko-clothing-decoration-repair-workshop-13th-february-17-00/,fallback,/,fallback,no match found — redirecting to homepage
https://ideas-block.com/program/,/program/,static,/events/,static,WordPress programme page → events index
https://ideas-block.com/about/,/about/,auto,http://localhost:8000/about/,auto,RichPage pk=488
https://ideas-block.com/artist-residence/,/artist-residence/,auto,http://localhost:8000/blog/artist-residence/,auto,BlogPostPage pk=153
https://ideas-block.com/shop/,/shop/,auto,http://localhost:8000/shop/,auto,ProductsIndexPage pk=6
https://ideas-block.com/jaw-harp-workshop-ideas-block-28th-february-6-pm/,/jaw-harp-workshop-ideas-block-28th-february-6-pm/,auto,http://localhost:8000/blog/jaw-harp-workshop-ideas-block-28th-february-6-pm/,auto,BlogPostPage pk=152
https://ideas-block.com/day-pop-up-shop-bear-ideas-block-1st-march-12-8-pm/,/day-pop-up-shop-bear-ideas-block-1st-march-12-8-pm/,auto,http://localhost:8000/blog/day-pop-up-shop-bear-ideas-block-1st-march-12-8-pm/,auto,BlogPostPage pk=141
https://ideas-block.com/exhibition-opening-birute-bagdonaviciute-15th-march-19-00/,/exhibition-opening-birute-bagdonaviciute-15th-march-19-00/,auto,http://localhost:8000/blog/exhibition-opening-birute-bagdonaviciute-15th-march-19-00/,auto,BlogPostPage pk=142
https://ideas-block.com/english-conversation-lessons-18th-march-16-00/,/english-conversation-lessons-18th-march-16-00/,auto,http://localhost:8000/blog/english-conversation-lessons-18th-march-16-00/,auto,BlogPostPage pk=148
